Sample ID;APD 2;Acalypha;Alchornea;Allophylus;Anthocleista;Araliaceae undiff.;Asteroideae undiff.;Berlinia-type;Brachystegia;Brassicaceae undiff.;Carduus-type;Cassine-type;Cassipourea;Celtis;Cliffortia nitidula-type;Combretum-type;Commelina-type;Commiphora;Cordia africana-type;Cornus volkensii;Crassocephalum-type (C. montuosum);Croton-type;Cussonia;Ekebergia-type (E. capensis);Englerina;Ericaceae undiff.;Euclea;Euphorbiaceae undiff.;Ficus;Hagenia abyssinica;Heliotropium;Hymenocardia acida-type;Hypoestes-type;Ilex mitis;Isoberlinia-type;Liliaceae undiff.;Lobelioideae undiff.;Macaranga;Malvaceae undiff.;Maytenus;Mimulopsis-type;Morella;Neoboutonia-type;Nuxia-type;Ocotea;Olea;Ozoroa-type;Phyllanthus-type;Poaceae undiff.;Podocarpus;Polyscias fulva-type;Restionaceae undiff.;Rubiaceae undiff.;Satureja;Searsia-type;Silene-type;Uebelinia-type;Spermatophyta undiff.;Stellaria mannii-type;Syzygium-type;Vernonia
428698;260;1;1;1;;;13;;;1;1;;;;;;;;;;1;;;;;12;3;1;;;;;1;2;1;;;;;;;5;;1;;6;;;173;14;1;1;;;;;;32;;;2
428699;596;;;;;;12;;1;2;1;;;;1;;;;;1;;;;;;14;;1;;;;;;5;;;1;;;;;1;;1;1;1;;;195;12;;;;;1;;;2;;;3
428700;936;;;2;;1;9;;;1;;;;;;;;;;2;1;;;;;27;;;;;;;;2;;;;1;1;;;;;;;1;3;1;197;21;2;;;;1;;;8;;;3
428701;1289;;;1;;;17;;;5;3;;;;;;;;;;1;;;;1;18;;;;;;;;2;;;;;;;;2;;;;1;1;;219;16;4;;;;1;;;5;;;3
428702;1623;1;;2;1;1;17;;;;1;;;;;;1;;;;;;1;;;18;;2;;;1;;;;;;;;;;;3;;1;1;;;;195;18;3;1;;;;;;10;;;4
428703;1885;;;;2;;8;;;4;;;;;;;;;;1;;;;;;24;;;;;;1;;3;;;;;;1;;;;1;;2;;;212;19;1;;;;;;;7;;;4
428704;1962;;;;5;;9;;;2;;1;;1;1;;;;;1;1;;;;;27;;;;;;;;1;;1;;;1;;;;;2;;3;;;192;15;4;1;;;;;;13;;;5
428705;2044;;;;;;20;;;;1;;;;1;;;;;;;2;;;;26;;;;;;;;4;;;1;;;;;2;;2;;1;;;200;10;1;;;;;;;10;;;1
428706;2129;;;;;;13;;;2;;;;1;;;;;;1;;;;;;19;;1;;;;;;2;;;;1;;;;;;2;;1;;;207;15;1;;;;;;;4;1;;1
428707;2213;;;;;;10;;;;;;;;;2;;;;;;;1;;;19;1;;;;;;;1;;;;;;;;;;;;2;;;206;19;1;;;;1;1;1;7;;;3
428708;2299;;;;;;17;1;;;1;;1;;;;;;;;;;1;;;19;;;;;;;1;3;;1;;;4;;;;1;;;1;;;215;18;;;;1;;;;4;;;2
428709;2382;;;;;;14;;;1;;;;;1;;;;;1;;;1;1;;22;;1;;;;;2;;;;;;3;;;;;1;;1;;;210;7;4;;;;;1;1;6;;;5
428710;2492;;;;1;;24;;;;;;;;;1;;;;1;;;;;;20;1;;1;;;;;1;;;;;1;;;;;2;;3;1;;220;20;;;;;;;;4;1;1;3
428711;3094;;;;;1;21;;;1;;;;;;;;;;1;;;1;;;18;;;;;;;2;2;;;;;;;;1;;4;;2;;;241;30;;;2;;;;;2;1;;5
428712;3595;;;;;;20;;;;;;;;;;;;;;;;;;;35;;;;;1;;;1;;;;;;;;;1;1;;4;;;237;12;;;;;;;;2;;;2
428713;4514;;;;1;;12;;;1;3;;;;;;;;;;;;;;;27;;1;;;;;2;1;;;;;;;;;;1;;3;;;220;16;;;1;;;;;3;2;;6
428714;5239;;;;;;15;;;;;;;;;;;;;;1;;;;;17;;;;;;;;;;;;;;;;;;5;;2;;;210;18;1;;;;;;;2;;;5
428715;5975;;;;1;;17;;;;;;;;;;;;;;;1;;;;20;;;;;;;;2;;;;;;;;;;1;1;;;;163;21;1;;;;;;;3;1;;9
428716;6723;;;;;;29;;;;1;;;;;;;;;;;1;;;;12;;1;;;;;;;;;;;;1;;1;;1;;;;;190;24;;;;;;;;3;;;
428717;7524;;;;;;19;1;;;;1;;1;;;;;;;;;;;;4;;;;;;;;2;;;;;;;;;4;;;1;;;148;32;1;;;;;;;5;;;2
428718;8340;;;;1;;27;;;;1;;;;;;;;1;;;2;1;;;14;;;;1;;1;1;;;;;;;;1;;;1;1;1;1;;160;19;2;;;;;;;;;;8
428719;9205;;;;;;37;;;2;;;;;3;;;1;;;;;;;;6;;;;;;;1;2;;;;1;;;1;1;;5;1;1;1;;178;15;2;;;;;;;5;1;;13
428720;10059;;;;;;36;;;1;1;1;;;9;;;;;;;;3;;;21;;;;2;;;;2;;;;;;;1;2;;2;;4;;;153;21;2;3;;1;1;;;9;10;;15
428721;10975;;;;;;36;;1;1;;;;;7;;;;;;;;1;;1;10;;2;;1;;;1;2;;;;;;;1;1;1;5;;2;;;139;15;;9;;;;;;6;3;;8
428722;11830;1;;;;;31;;;;;;;;10;;;;;1;;;;;1;26;;1;;1;;;5;3;;;;;;1;;1;1;5;2;2;;;154;28;;9;3;;;;;8;7;1;13
428723;12601;;;;;;26;;;2;;;;;13;;;;;;;1;;;1;30;;1;;3;;2;;3;;1;;;;;2;2;2;13;;13;;;146;38;;30;;;;;;6;16;1;15
